ddate,district,ASLT_RollAvg7,ASLT_RollDRate7,ASLT_RollARate7,ASLT_RollAvgDist7,ASLT_RollAvgMaxDist7,ASLT_RollAvgCMLen7,ASLT_RollAvgLen7,ASLT_RollAvgHardship7,ASLT_RollAvgCountCMArea7,ASLT_RollAvgDRateCMArea7,ASLT_RollAvgARateCMArea7,ASLT_RollAvgDensity7
2026-01-01,9,12.714285714285714,0.3010875402792696,0.21119763694951663,3.854212624983435,20.72167847579496,37.9739152689,569.6087290335,85.46233888292159,0.17172816738753746,0.004066702029299577,0.002852585191566659,0.011448544492502499
2026-01-01,5,8.0,0.37936507936507935,0.3376984126984127,2.785734063934683,34.753765385436296,49.947040500566665,449.5233645051,61.73134920634921,0.06994760875117605,0.0033169600181609275,0.002952649555915219,0.007771956527908449
2026-01-01,24,8.857142857142858,0.3534013605442178,0.13826530612244892,1.770934401325792,35.4581685329124,37.25689394366001,186.2844697183,37.45731292517007,0.1303364274253246,0.005200443475227045,0.0020346297138400327,0.02606728548506492
2026-01-01,15,9.571428571428571,0.42491932670504096,0.39323870573870573,1.4033881230574399,25.413651775586082,75.2264749167,75.2264749167,73.0,0.048036269282194684,0.0021325488717266485,0.0019735528735421387,0.048036269282194684
2026-01-01,10,8.428571428571429,0.351082251082251,0.29199134199134197,1.4318596220193942,20.383765681374577,54.40056556736666,326.4033934042,88.95844155844155,0.0652809254289639,0.0027192003350225845,0.0022615297484250723,0.01088015423816065
2026-01-01,19,5.857142857142857,0.2335034013605442,0.08095238095238101,1.5208103742862278,28.662363090361662,43.14868752423333,388.3381877181,8.58265306122449,0.07896855853605422,0.0031481948568525685,0.0010914353618804234,0.008774284281783803
2026-01-01,14,5.428571428571429,0.320021645021645,0.20800865800865811,1.3523334310492925,26.250073269886236,46.48934295075714,325.4254006553,23.673268398268394,0.06276443569655286,0.0037000485716648093,0.002404969007351967,0.00896634795665041
2026-01-01,4,14.0,0.38732101232101235,0.3337912087912088,3.9220671857386504,31.487732486229255,46.70133255513333,560.4159906616,61.70607170607171,0.14642701299357433,0.004051018493129517,0.0034911464047722293,0.012202251082797858
2026-01-01,7,15.857142857142858,0.4436355311355311,0.3037143412143412,1.6757575893831882,25.243745213450985,44.44293571435714,311.1005500005,89.52186979686981,0.16504515138962034,0.004617470754833771,0.0031611356394093543,0.02357787876994577
2026-01-01,22,6.428571428571429,0.42857142857142844,0.35119047619047616,3.2612956375295816,31.783562053801607,48.7635184928625,390.1081479429,45.84523809523809,0.06348568802749414,0.004232379201832943,0.003468199623724217,0.007935711003436768
